first	second	third	probs
song	keeps	playing	0.400000000
kings	fell	into	0.666666667
in	lovely	areas	0.066666667
group	homes	are	0.056603774
india	there	is	0.333333333
comfort	on	the	0.200000000
degrees	but	it	0.137931034
of	so	much	0.149643705
one	personal	training	0.142857143
and	sethems	to	0.521472393
night	see	the	0.421052632
praying	it	gets	0.125000000
a	long	day	0.055063172
getting	prepared	to	0.117647059
changed	but	they	0.073529412
dry	enough	for	0.285714286
except	this	one	0.166666667
your	following	me	0.312500000
free	books	at	0.060000000
their	heritage	which	0.054054054
goes	really	slow	0.181818182
be	faced	by	0.075000000
explain	this	without	0.025423729
yo	grown	ass	0.666666667
wilson	with	a	0.250000000
by	rules	that	0.333333333
managed	so	far	0.400000000
sold	to	a	0.101538462
action	said	michael	0.095238095
stepped	closer	to	0.500000000
fail	fast	fail	0.333333333
in	get	your	0.072727273
walking	so	close	0.166666667
grill	this	weekend	0.333333333
to	photos	in	0.133333333
try	reading	it	0.214285714
traffic	than	the	0.333333333
catholic	identity	of	0.200000000
first	visited	it	0.068965517
school	gave	me	0.333333333
supporting	it	and	0.111111111
much	deeper	than	0.233333333
people	move	through	0.083333333
officers	under	review	0.250000000
best	basis	for	1.000000000
page	of	google	0.046321526
healthy	hair	by	0.151515152
across	some	great	0.064516129
hole	around	the	0.750000000
with	name	address	0.117647059
reason	one	of	0.153846154
index	higher	for	0.666666667
that	workers	are	0.083333333
new	era	of	0.304123711
learn	they	live	0.095238095
bed	of	the	0.053811659
downtown	portland	hotel	0.017241379
were	calling	the	0.083333333
i	blog	for	0.065934066
swing	at	it	0.029850746
green	beans	and	0.180921053
similar	pattern	of	0.117647059
british	newspaper	the	0.450000000
knowing	more	than	0.285714286
michigan	new	jersey	0.461538462
also	offer	a	0.221153846
winter	trying	to	1.000000000
franchise	with	a	0.285714286
coach	house	in	0.142857143
conversation	rather	than	1.000000000
field	under	a	0.400000000
rthemthember	feeling	so	0.071428571
out	themails	to	0.272727273
understood	as	a	0.237288136
some	things	that	0.092187500
the	stores	are	0.075630252
mine	asked	me	0.400000000
thick	but	also	0.083333333
fit	or	you	0.153846154
before	playing	in	0.131578947
earnings	at	the	0.153846154
close	for	a	0.073394495
church	again	tonight	0.250000000
either	due	to	0.857142857
usually	more	expensive	0.093023256
some	room	on	0.052631579
home	feeling	as	0.090909091
leave	work	and	0.077922078
head	under	the	0.222222222
catch	your	eye	0.196969697
that	voters	in	0.074380165
focused	too	much	0.500000000
tea	at	the	0.333333333
that	whole	scene	0.016129032
inside	where	theres	0.125000000
def	hit	you	0.571428571
their	situation	is	0.062500000
app	only	works	0.666666667
time	presidential	candidate	0.750000000
station	that	the	0.053333333
now	off	the	0.021978022
some	also	said	0.066666667
improved	during	the	0.500000000
NA	dozen	or	0.043723087
our	volunteers	for	0.051282051
many	you	can	0.150000000
we	my	partner	0.090909091
the	trash	out	0.042613636
student	body	is	0.069444444
cool	off	with	0.211009174
for	error	is	0.060606061
because	prices	are	0.333333333
any	garden	center	0.333333333
wins	with	the	0.178571429
late	birthday	to	0.111111111
buddy	is	trying	0.047619048
hang	christmas	lights	0.400000000
stewart	who	led	0.129032258
are	perfect	for	0.423611111
or	man	that	0.050000000
best	believe	im	0.150000000
original	inspiration	to	0.222222222
mostly	african	americans	0.250000000
really	having	to	0.104166667
both	years	combined	0.125000000
one	weeks	time	0.333333333
thinking	this	was	0.069444444
track	with	a	0.068027211
could	write	about	0.117346939
magic	that	the	0.108108108
own	presence	there	0.272727273
afternoon	by	the	0.289473684
best	horror	film	0.333333333
date	with	my	0.133047210
past	summer	we	0.048387097
names	you	have	0.103448276
themployees	once	worked	0.666666667
him	hanging	out	0.352941176
safety	is	a	0.089108911
higher	frame	rate	1.000000000
some	lady	is	0.052631579
rt	heres	to	0.387096774
listen	pay	attention	1.000000000
not	supply	the	0.250000000
is	its	not	0.138775510
make	using	the	0.272727273
jazz	hip	hop	1.000000000
panel	to	discuss	0.071428571
gonna	watch	a	0.061797753
did	record	some	0.222222222
horror	of	what	0.045045045
education	campaign	to	0.222222222
whenever	it	was	0.112676056
state	because	of	0.179487179
economy	saying	the	0.600000000
arrested	a	suspect	0.033783784
a	scale	of	0.476987448
political	opponents	have	0.061224490
over	might	be	1.000000000
up	happy	but	0.076923077
am	because	of	0.186046512
annual	casino	night	1.000000000
causing	thousands	of	1.000000000
pro	franchise	owner	0.400000000
are	awkward	first	0.153846154
much	during	a	0.133333333
but	inspired	by	0.363636364
fire	under	control	0.125000000
resolution	as	a	0.166666667
american	church	in	0.166666667
after	mthembers	of	0.583333333
id	and	we	0.033898305
find	challenging	is	0.666666667
NA	breast	and	0.038370441
point	add	in	0.500000000
was	reported	in	0.110516934
we	respond	to	0.631578947
location	time	and	1.000000000
winter	will	soon	0.095238095
old	to	me	0.050847458
tag	from	the	0.185185185
current	will	be	0.750000000
his	excitthement	for	0.074074074
cocktail	that	is	0.172413793
already	feeling	it	0.117647059
NA	gifts	and	0.102731820
at	ohio	university	0.053921569
keep	productive	and	1.000000000
injuries	but	the	0.119047619
annual	blood	test	0.400000000
than	waiting	until	0.135135135
fucking	wit	my	0.166666667
to	gold	or	0.055555556
singing	back	home	0.333333333
go	big	blue	0.412790698
long	running	battle	0.034482759
theyve	already	made	0.095238095
play	showed	that	0.666666667
play	an	important	0.277419355
definitely	become	a	0.285714286
and	yourself	by	0.042253521
greatest	pleasure	of	0.105263158
super	impressed	that	0.142857143
too	full	of	0.288135593
lakers	but	i	0.100000000
interesting	people	to	0.049019608
perfect	love	for	0.058823529
grew	last	year	0.555555556
right	frame	for	0.090909091
hate	and	i	0.037593985
first	thought	is	0.094488189
given	we	re	0.133333333
done	left	me	0.500000000
would	give	me	0.096642930
eventually	won	by	0.105263158
their	sleep	and	0.114285714
try	checking	out	0.750000000
my	tale	of	0.400000000
theyre	both	good	0.029629630
we	reported	that	0.130434783
ford	foundation	and	0.117647059
this	ideal	that	0.125000000
all	dirty	about	0.200000000
killing	millions	of	1.000000000
everyone	guess	whos	1.000000000
tower	to	be	0.058823529
as	chairman	in	0.022727273
independent	review	of	0.352941176
story	get	it	0.428571429
by	winter	weather	0.200000000
sex	we	get	0.166666667
NA	challenges	of	0.060994683
known	is	a	0.122807018
focus	here	is	0.545454545
how	similar	it	0.178571429
received	was	that	0.093750000
apply	this	in	0.054054054
we	handle	the	0.217391304
your	being	to	0.038961039
different	just	because	0.272727273
offered	last	year	0.583333333
this	commercial	is	0.090909091
because	mthemories	are	1.000000000
that	domestic	violence	0.157894737
following	according	to	1.000000000
development	or	a	0.047619048
theyre	telling	us	0.125000000
dollar	an	hour	0.750000000
of	when	the	0.099195710
nicely	done	i	0.014598540
bear	would	have	0.285714286
putting	makeup	on	1.000000000
improved	business	climate	1.000000000
mayo	clinic	is	0.042857143
all	based	on	0.704545455
its	common	sense	0.132075472
truly	needs	to	0.444444444
way	thru	the	0.259259259
volunteer	for	a	0.101123596
who	did	it	0.069444444
biggest	reason	for	0.320000000
kiss	under	the	0.800000000
enough	though	and	0.071428571
late	it	was	0.307692308
different	people	have	0.046296296
motion	as	he	0.117647059
i	a	bad	0.032258065
film	producer	and	0.172413793
painting	flowers	for	0.750000000
new	generation	to	0.040892193
means	until	i	0.400000000
healing	after	the	0.333333333
now	dick	clark	0.800000000
much	w	o	0.400000000
but	food	and	0.178571429
valley	because	it	0.400000000
to	third	base	0.121212121
however	seeing	how	0.500000000
yep	got	it	0.272727273
discover	once	you	0.666666667
need	his	help	0.127659574
the	cry	but	0.053571429
happen	just	to	0.080000000
almost	hear	a	0.071428571
shots	as	i	0.080000000
rthemthember	their	first	0.057692308
well	dont	worry	0.054545455
people	where	they	0.206349206
early	fans	in	0.666666667
real	issues	of	0.062500000
paid	way	over	0.400000000
knows	theres	a	0.157894737
corporate	america	is	0.045977011
the	adopted	daughter	0.100000000
million	first	phase	0.473684211
your	breath	away	0.170506912
this	high	quality	0.043010753
where	last	week	0.166666667
theyre	selling	it	0.066666667
sir	that	is	0.250000000
those	asking	yes	0.133333333
waste	the	money	0.044117647
heritage	site	in	0.125000000
chase	scenes	and	0.166666667
off	people	to	0.071428571
for	break	and	0.105263158
seven	draft	picks	0.666666667
venture	a	little	0.148148148
someone	works	with	0.666666667
hill	so	i	0.222222222
cream	potatoes	and	1.000000000
u	later	tonight	0.040816327
little	background	on	0.236842105
are	staying	in	0.162337662
fear	for	their	0.108108108
quickly	wanted	to	1.000000000
moment	live	in	1.000000000
children	teach	ththem	0.333333333
particular	field	of	0.181818182
has	water	problthem	0.095238095
to	funding	from	0.108108108
budget	which	is	0.126436782
allowing	just	three	0.102040816
i	bought	it	0.079292929
actually	planning	a	0.200000000
have	fully	appreciated	0.080000000
choosing	patterns	that	1.000000000
language	as	well	0.142857143
review	ththem	at	0.080000000
about	cleaning	up	0.173913043
needed	after	the	0.320000000
called	let	the	0.400000000
appropriate	food	and	1.000000000
team	thanks	for	0.375000000
her	breaking	point	0.800000000
good	beer	week	0.040404040
president	learned	about	1.000000000
and	forced	to	0.195121951
love	being	a	0.168207024
bill	and	the	0.075324675
wish	and	were	0.055555556
chamber	noted	that	1.000000000
those	gathered	for	0.150000000
identity	of	the	0.480000000
n	b	attached	0.068965517
my	dvd	on	0.086956522
you	heard	it	0.106250000
rthemind	us	all	0.058201058
america	plans	to	1.000000000
of	health	insurance	0.042964554
will	wake	up	0.812500000
intense	work	and	0.333333333
wish	his	mom	0.250000000
into	to	it	0.061224490
loose	focus	and	0.400000000
handle	all	the	0.185185185
smoke	or	do	0.057142857
fish	hell	eat	1.000000000
sand	hills	and	0.300000000
independent	studies	of	0.333333333
beer	sales	to	0.055555556
mthemory	or	is	0.080000000
do	quality	work	0.666666667
critical	to	the	0.212121212
bro	its	his	0.105263158
different	states	of	0.051282051
who	ate	the	0.239130435
bankruptcy	the	government	0.181818182
new	collection	the	0.038961039
friends	living	in	0.500000000
by	assistant	prosecutor	0.238095238
now	call	me	0.158730159
rare	guy	can	0.600000000
movie	loved	it	1.000000000
program	that	would	0.043668122
work	coffee	is	0.666666667
whatever	political	party	0.333333333
gift	bags	for	0.106382979
can	rock	it	0.139534884
those	arent	quite	0.052631579
agency	subject	to	1.000000000
changes	around	here	0.357142857
it	planned	since	0.046511628
each	product	to	0.157894737
gotten	into	the	0.275590551
didnt	wish	to	0.333333333
more	kids	than	0.059523810
six	figure	sum	0.060606061
minutes	when	i	0.133333333
mall	here	in	0.500000000
it	english	said	0.222222222
im	such	an	0.105263158
it	through	a	0.073584906
who	comes	out	0.115942029
the	cities	of	0.230158730
book	says	the	0.090909091
and	knowing	the	0.084337349
i	knew	i	0.156766576
business	phone	systthem	0.333333333
family	photos	of	0.046875000
friday	nights	at	0.077586207
the	schools	have	0.045031056
his	services	as	0.058823529
down	wall	street	1.000000000
wide	world	to	0.034883721
in	country	music	0.202531646
year	heading	into	1.000000000
one	getting	a	0.129032258
air	pushing	out	1.000000000
public	get	used	0.400000000
happened	around	the	0.190476190
barely	recognize	the	0.750000000
NA	yep	thats	0.026199495
alert	you	to	0.520000000
noted	last	week	0.200000000
care	power	of	1.000000000
sorry	the	video	0.019607843
doing	check	out	0.666666667
even	enjoy	the	0.190476190
white	by	the	0.142857143
republicans	happen	to	1.000000000
california	we	can	0.181818182
adding	we	cannot	0.111111111
still	easier	to	0.500000000
bad	girl	who	0.030612245
starts	today	at	0.029761905
NA	bird	and	0.039834289
writing	comments	about	0.666666667
NA	air	and	0.054501950
box	that	i	0.163461538
per	child	for	0.051724138
finally	reach	that	0.111111111
far	in	my	0.068010076
our	southern	california	0.100000000
pair	of	shoes	0.052956112
studies	at	a	0.023809524
students	attthempt	to	1.000000000
bill	thank	you	0.666666667
for	charges	of	0.333333333
by	general	manager	0.139534884
line	behind	me	0.117647059
one	vehicle	accident	0.130434783
using	color	and	0.333333333
own	age	which	0.058823529
your	planning	on	0.272727273
bag	that	you	0.085714286
felt	comfortable	in	0.055555556
account	name	is	0.105263158
their	feedback	to	0.100000000
is	bike	to	0.800000000
be	behind	the	0.355555556
todays	your	last	0.500000000
miss	seeing	your	0.090909091
will	re	sign	0.069444444
sometime	today	in	0.054054054
presentation	next	week	0.750000000
of	couldnt	get	1.000000000
always	leave	a	0.131147541
hopefully	my	brother	0.023255814
different	standard	than	0.500000000
university	reported	in	0.500000000
pub	even	though	0.500000000
professional	does	the	1.000000000
talking	as	they	0.100000000
lake	under	the	0.750000000
never	find	it	0.096045198
snow	when	i	0.375000000
great	birthday	gift	0.061224490
tweets	and	re	0.021341463
to	grant	ththem	0.057268722
if	peter	had	0.250000000
go	separate	ways	1.000000000
upon	approval	from	0.333333333
fat	ugly	or	0.111111111
task	i	was	0.060606061
greatest	weekend	ever	0.666666667
largely	but	not	1.000000000
session	at	the	0.222222222
half	price	bottles	0.040816327
are	changing	their	0.048484848
people	sometimes	ask	0.084745763
moment	from	the	0.342105263
teaching	this	summer	0.068965517
gas	because	of	0.428571429
or	intelligence	is	0.214285714
serve	warm	with	0.215384615
mind	taking	a	0.333333333
cannot	beat	a	0.181818182
rights	movthement	of	0.033333333
are	stage	sets	0.400000000
fucking	joke	i	0.083333333
still	plan	to	0.500000000
be	lunch	time	0.250000000
bar	it	gets	0.090909091
coaches	get	fired	0.200000000
black	paint	and	0.238095238
map	approved	by	0.750000000
ill	manage	to	0.222222222
visit	ththem	as	0.063492063
alive	by	a	0.090909091
royal	family	in	0.056451613
or	claim	it	0.235294118
not	measure	out	0.142857143
our	laundry	room	0.428571429
technology	are	you	0.117647059
citys	finance	director	0.444444444
hardly	just	a	1.000000000
staff	proposed	pay	0.666666667
spent	hours	at	0.064516129
his	treatment	was	0.084745763
to	registered	voters	0.300000000
sethems	clear	enough	0.096774194
probably	have	a	0.114155251
my	saying	that	0.277777778
family	getting	a	1.000000000
for	dumb	stuff	0.181818182
